Text,Complexity,Start Time,End Time
Oppenheimer still divides America.,8.2,00:02:20,508,00:02:22,242
Einstein published his Theory of Relativity,6.17,00:10:50,851,00:10:52,887
<i>your attention</i> <i>to his past associations</i>,6.17,00:12:42,963,00:12:45,366
Spanish Republic isn't nothing.,8.2,00:34:28,870,00:34:30,738
<i>his Communist brother,</i> <i>sister-in-law,</i>,8.2,00:39:06,446,00:39:08,616
the Manhattan Engineer District.,8.2,00:43:35,783,00:43:37,918
Which gives us compartmentalization.,8.2,00:45:52,953,00:45:54,556
that Chevalier was actually seeking information,,6.17,00:58:07,922,00:58:10,658
SENATE AIDE: No presidential Cabinet nominee,6.17,00:59:01,776,00:59:03,044
-crushing the material. -(blasting),8.2,01:04:33,073,01:04:35,109
Thereby revealing its existence.,8.2,01:32:29,350,01:32:30,985
don't underestimate the psychological impact of a...,5.15,01:39:58,666,01:40:01,703
Ready for emergency evacuation.,8.2,01:51:36,363,01:51:38,832
Ninety seconds to detonation.,8.2,01:54:21,529,01:54:24,365
-(stomping subsides) -(cheering continues),8.2,02:05:29,864,02:05:32,700
Teller's testifying this morning.,8.2,02:23:40,087,02:23:42,223
and potentially perjure himself,,8.2,02:25:48,916,02:25:50,417
during your investigation into Dr. Oppenheimer,,6.17,02:29:58,131,02:30:00,702
in influencing United States military policy...",6.17,02:31:55,482,02:31:58,218
-MAGNUSON: Order. -(gavel banging),8.2,02:33:17,364,02:33:19,499
Under my interpretation (sighs),8.2,02:36:02,630,02:36:04,999
into Communist Party channels?,8.2,02:40:08,209,02:40:09,643
-Technically successful. -ROBB: Oh!,8.2,02:44:44,552,02:44:46,120
